\AidData TUFF Project ID;Recommended For Aggregates;Umbrella;Financier Country;Recipient;Recipient Region;Commitment Year;Title;Status;Intent;Flow Type;Concessional;Flow Class;Sector Code;Sector Name;Funding Agencies;Funding Agencies Type;Amount (Original Currency);Original Currency;Amount (Constant USD2017);Amount (Nominal)
53034;Yes;No;China (People's Republic of);Morocco;Africa;2015;Chinese Embassy in Morocco Donates Water Pump to Moulay Bousselham, Morocco;Completion;Development;Grant;Yes;ODA-like;140;WATER SUPPLY AND SANITATION;Chinese Embassy;Government Agency;;;;
53451;Yes;No;China (People's Republic of);Morocco;Africa;2015;Chinese Government provides MAD 41.4 million grant for Souss-Massa Geochemical Mapping Project;Completion;Development;Grant;Yes;ODA-like;320;INDUSTRY, MINING, CONSTRUCTION;Unspecified Chinese Government Institution;Government Agency;41400000;MAD;4175438.174;4246990.57
56442;Yes;No;China (People's Republic of);Morocco;Africa;2015;Chinese Government provides 13.8 million grant for Western High Atlas Geochemical Mapping Project (Linked to Project ID#56450);Implementation;Development;Grant;Yes;ODA-like;320;INDUSTRY, MINING, CONSTRUCTION;China Geological Survey|Unspecified Chinese Government Institution;Government Agency|Government Agency;13800000;MAD;1391812.725;1415663.523
56450;Yes;No;China (People's Republic of);Morocco;Africa;2015;Chinese Government provides MAD 41.4 million grant for Western High Atlas Geochemical Mapping Project (Linked to Project ID#56442);Completion;Development;Grant;Yes;ODA-like;320;INDUSTRY, MINING, CONSTRUCTION;China Ministry of Commerce;Government Agency;41400000;MAD;4175438.174;4246990.57
57182;Yes;No;China (People's Republic of);Morocco;Africa;2015;Chinese Medical Mission to Morocco in 2015 (Linked to Projects #56311, #56319, #56331, #56341, #57440, #56345);Completion;Development;Free-standing technical assistance;Yes;ODA-like;120;HEALTH;Unspecified Chinese Government Institution;Government Agency;;;;
31140;Yes;No;China (People's Republic of);Mozambique;Africa;2015;China grants RMB 35.71 for the Nampula Vocational and Technical College expansion project;Completion;Development;Grant;Yes;ODA-like;110;EDUCATION;China Ministry of Commerce;Government Agency;35710000;CNY;5585737.768;5681457.764
57417;Yes;No;China (People's Republic of);Mozambique;Africa;2015;Chinese Government donates emergency relief package worth $700.000 following severe floods;Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;700000;USD;688206.5485;700000
66930;Yes;No;China (People's Republic of);Multi-Region;Multi-Region;2015;Chinese Government organizes the Technical Training Course for Desertification Prevention and Control in Arab Countries in 2015 (Linked to Project ID#85226, #85227, #85228, #60679, #85225, #66932, and #85229);Completion;Development;Scholarships/training in the donor country;Yes;ODA-like;310;AGRICULTURE, FORESTRY, FISHING;China Ministry of Science & Technology|Ningxia Academy of Agriculture and Forestry Sciences|Science and Technology Department of Ningxia Hui Autonomous Region;Government Agency|Government Agency|Government Agency;;;;
72751;Yes;No;China (People's Republic of);Multi-Region;Multi-Region;2015;South China Botanical Garden holds 4th 'International Seminar on Biodiversity Conservation and Management';Completion;Development;Scholarships/training in the donor country;Yes;ODA-like;310;AGRICULTURE, FORESTRY, FISHING;China Ministry of Commerce;Government Agency;;;;
87779;Yes;No;China (People's Republic of);Multi-Region;Multi-Region;2015;China Ministry of Agriculture contributes $50 million USD for Phase II of the FAO-China South-South Cooperation Trust Fund (Linked to #87769);Implementation;Development;Grant;Yes;ODA-like;310;AGRICULTURE, FORESTRY, FISHING;China Ministry of Agriculture;Government Agency;50000000;USD;49157610.61;50000000
87816;Yes;No;China (People's Republic of);Multi-Region;Multi-Region;2015;China provides $50 million USD for establishing the China-World Bank Group Partnership Facility;Pipeline: Commitment;Development;Vague TBD;Yes;ODA-like;430;OTHER MULTISECTOR;China Ministry of Finance;Government Agency;50000000;USD;49157610.61;50000000
49170;Yes;No;China (People's Republic of);Myanmar;Asia;2015;China Eximbank provides RMB 246.1 million government concessional loan for MOI acquisition of cars, patrol boats, police vehicles and helicopters;Implementation;Mixed;Loan;Yes;OOF-like;150;GOVERNMENT AND CIVIL SOCIETY;Export-Import Bank of China;State-owned Policy Bank;246149000;CNY;38502485.74;39162283.59
49176;Yes;No;China (People's Republic of);Myanmar;Asia;2015;China's Yunnan Province provides 2.41 million yuan of humanitarian aid to Myanmar after flood;Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Yunnan Provincial Government;Government Agency;2410000;CNY;376970.8211;383430.7816
49178;Yes;No;China (People's Republic of);Myanmar;Asia;2015;China sends 10 million RMB worth of motorized dinghies to Myanmar in first batch of relief supplies;Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;10000000;CNY;1564194.278;1590999.094
49179;Yes;No;China (People's Republic of);Myanmar;Asia;2015;Chinese PLA delivers 10 million yuan worth of humanitarian aid to Myanmar after flooding;Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;People's Liberation Army of China;Government Agency;10000000;CNY;1564194.278;1590999.094
63327;Yes;No;China (People's Republic of);Myanmar;Asia;2015;China Eximbank provides $129.9 million buyer’s credit loan for Phase 1 (Part 2) of Myanmar Communication Infrastructure Construction Project (Linked to projects #64443 and #63665);Completion;Mixed;Export Buyer's Credit;Vague;OOF-like;220;COMMUNICATIONS;Export-Import Bank of China;State-owned Policy Bank;129910000;USD;127721303.9;129910000
63507;Yes;No;China (People's Republic of);Myanmar;Asia;2015;Chinese Government provides RMB 31.9 million grant for Mini Hydro Power Project in Ayeyarwady Region;Pipeline: Commitment;Development;Grant;Yes;ODA-like;230;ENERGY;China Ministry of Commerce;Government Agency;31995000;CNY;5004639.594;5090401.6
63836;Yes;No;China (People's Republic of);Myanmar;Asia;2015;Chinese Government donates police vehicles to Myanmar;Completion;Development;Grant;Yes;ODA-like;150;GOVERNMENT AND CIVIL SOCIETY;Unspecified Chinese Government Institution;Government Agency;;;;
64172;Yes;No;China (People's Republic of);Myanmar;Asia;2015;Chinese Government provides RMB 20.9 million grant for Thuwunna National Indoor Sports Stadium Renovation Project;Implementation;Development;Grant;Yes;ODA-like;160;OTHER SOCIAL INFRASTRUCTURE AND SERVICES;China Ministry of Commerce;Government Agency;20970900;CNY;3280256.179;3336468.289
64283;Yes;No;China (People's Republic of);Myanmar;Asia;2015;Chinese Government donation of teaching materials to Naypyidaw No. 7 Middle School;Completion;Development;Grant;Yes;ODA-like;110;EDUCATION;Unspecified Chinese Government Institution;Government Agency;;;;
64322;Yes;No;China (People's Republic of);Myanmar;Asia;2015;Dehong Prefecture Government donates RMB 1 million worth of emergency relief materials and cash to Myanmar in response to the flood;Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Yunnan Dehong Prefecture Government;Government Agency;1000000;CNY;156419.4278;159099.9094
64348;Yes;No;China (People's Republic of);Myanmar;Asia;2015;Chinese government donates second batch of relief supplies (linked to project #49178);Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;29000000;CNY;4536163.407;4613897.372
64388;Yes;No;China (People's Republic of);Myanmar;Asia;2015;Yunnan Provincial Government donation of 200.000 galvanized (aluzine) sheets for post-disaster reconstruction;Completion;Development;Grant;Yes;ODA-like;730;RECONSTRUCTION RELIEF AND REHABILITATION;Yunnan Provincial Government;Government Agency;;;;
64564;Yes;No;China (People's Republic of);Myanmar;Asia;2015;China’s Ministry of Science and Technology provides technical assistance for Biomass Demonstration Project;Completion;Development;Free-standing technical assistance;Yes;ODA-like;230;ENERGY;China Ministry of Science & Technology;Government Agency;;;;
68382;Yes;No;China (People's Republic of);Myanmar;Asia;2015;CITIC donates USD 300 thousand worth goods and materials for post-disaster reconstruction to Rakhine State Government (link to project #68383);Completion;Development;Grant;Yes;ODA-like;730;RECONSTRUCTION RELIEF AND REHABILITATION;CITIC Group Corporation;State-owned Company;300000;USD;294945.6636;300000
68383;Yes;No;China (People's Republic of);Myanmar;Asia;2015;CITIC provides rescue flight service as flood relief to Myanmar (link to project #68382);Completion;Development;Free-standing technical assistance;Yes;ODA-like;720;EMERGENCY RESPONSE;CITIC Group Corporation;State-owned Company;150000;USD;147472.8318;150000
73312;Yes;No;China (People's Republic of);Myanmar;Asia;2015;Chinese government funds establishment of Chinese Cultural Center in Yangon;Completion;Representational;Grant;Yes;OOF-like;150;GOVERNMENT AND CIVIL SOCIETY;China Ministry of Culture;Government Agency;;;;
73843;Yes;No;China (People's Republic of);Myanmar;Asia;2015;China commits 3 million RMB grant for flood victims in Myanmar in 2015;Pipeline: Commitment;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;3000000;CNY;469258.2835;477299.7281
88270;Yes;No;China (People's Republic of);Myanmar;Asia;2015;National Development and Reform Commission of China donates materials to address climate change in March 2017;Completion;Development;Grant;Yes;ODA-like;410;GENERAL ENVIRONMENTAL PROTECTION;China National Development and Reform Commission;Government Agency;;;;
60979;Yes;No;China (People's Republic of);Namibia;Africa;2015;Chinese Government provides RMB 200 million grant - through August 2017 ETCA - for Phase 1 of Windhoek to Hosea Kutako International Airport Road Project (Linked to #60977, #60980, #67851);Implementation;Mixed;Grant;Yes;OOF-like;210;TRANSPORT AND STORAGE;China Ministry of Commerce;Government Agency;200000000;CNY;31283885.57;31819981.87
38414;Yes;No;China (People's Republic of);Nepal;Asia;2015;China makes first donation to Nepal worth 20 million RMB for earthquake relief (Linked to project #38415, #38417);Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;20000000;CNY;3128388.557;3181998.187
38415;Yes;No;China (People's Republic of);Nepal;Asia;2015;China makes second donation to Nepal worth 40 million RMB for earthquake relief (Linked to projects #38414, #38417);Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;40000000;CNY;6256777.114;6363996.375
38417;Yes;No;China (People's Republic of);Nepal;Asia;2015;Chinese Government makes third donation worth RMB 80 million for earthquake relief (Linked to Project ID#38414, #38415);Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;China Ministry of Commerce;Government Agency;80000000;CNY;12513554.23;12727992.75
38575;Yes;No;China (People's Republic of);Nepal;Asia;2015;China sends 2nd Medical Team to Nepal after earthquake;Completion;Development;Free-standing technical assistance;Yes;ODA-like;120;HEALTH;Unspecified Chinese Government Institution;Government Agency;;;;
38775;Yes;No;China (People's Republic of);Nepal;Asia;2015;China donates emergency food aid to Nepal after earthquake;Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;;;;
47052;Yes;No;China (People's Republic of);Nepal;Asia;2015;China donates 3.220.883 USD of emergency medical and epidemic prevention supplies to Nepal;Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;3220883;USD;3166618.246;3220883
52936;Yes;No;China (People's Republic of);Nepal;Asia;2015;Chinese Government provides grant for Phase 1 of the Araniko Highway Long-term Maintenance Project (Linked to Umbrella Project #43970);Completion;Development;Grant;Yes;ODA-like;210;TRANSPORT AND STORAGE;Unspecified Chinese Government Institution;Government Agency;760000000;NPR;7282221.559;7407013.349
53125;Yes;No;China (People's Republic of);Nepal;Asia;2015;Chinese Government provides RMB 124 million grant for the Timure (Rasuwagadi) Frontier Inspection Station Project;Implementation;Development;Grant;Yes;ODA-like;210;TRANSPORT AND STORAGE;China Ministry of Commerce;Government Agency;124000000;CNY;19396009.05;19728388.76
53127;Yes;No;China (People's Republic of);Nepal;Asia;2015;Chinese military sends medical and rescue assistance to Nepal following April 2015 earthquake;Completion;Development;Free-standing technical assistance;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;;;;
53150;Yes;No;China (People's Republic of);Nepal;Asia;2015;Chinese People's Armed Police Repairs Road in Nepal after the Earthquake;Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;;;;
53155;Yes;No;China (People's Republic of);Nepal;Asia;2015;PetroChina Granted 1.2 Million Liters Petroleum to Nepal (linked to #53157);Completion;Development;Grant;Yes;ODA-like;230;ENERGY;Unspecified Chinese Government Institution;Government Agency;;;;
53157;Yes;No;China (People's Republic of);Nepal;Asia;2015;China Grant 1.4 Million Liters of Fuel to Nepal (linked to #53155);Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;10000000;CNY;1564194.278;1590999.094
53900;Yes;No;China (People's Republic of);Nepal;Asia;2015;Chinese company CAMC conducts feasibility study for Kathmandu-Pokhara Railway for Nepal;Completion;Development;Free-standing technical assistance;Yes;ODA-like;210;TRANSPORT AND STORAGE;China CAMC Engineering Co., Ltd.;State-owned Company;;;;
71831;Yes;No;China (People's Republic of);Nepal;Asia;2015;Chinese Government provides grant for Earthquake Monitoring Network Project (Linked to Umbrella Project #43970);Completion;Development;Grant;Yes;ODA-like;740;DISASTER PREVENTION AND PREPAREDNESS;Unspecified Chinese Government Institution;Government Agency;;;;
87561;Yes;No;China (People's Republic of);Nepal;Asia;2015;Chinese Government provides emergency food aid worth RMB 6 million after 2015 earthquake;Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;6000000;CNY;938516.5671;954599.4562
58039;Yes;No;China (People's Republic of);Niger;Africa;2015;Chinese Government provides RMB 557 million grant for Third Bridge Construction Project (Linked to Project ID#58006, #58007, #135);Implementation;Development;Grant;Yes;ODA-like;210;TRANSPORT AND STORAGE;China Ministry of Commerce;Government Agency;557000000;CNY;87125621.31;88618649.52
58531;Yes;No;China (People's Republic of);Niger;Africa;2015;Chinese Government Donates Agricultural Materials to Niger equal to 10 million RMB;Completion;Development;Grant;Yes;ODA-like;310;AGRICULTURE, FORESTRY, FISHING;Unspecified Chinese Government Institution;Government Agency;10000000;CNY;1564194.278;1590999.094
61175;Yes;No;China (People's Republic of);Nigeria;Africa;2015;Chinese Government provides grant for Nigerian Refugee Skill Acquisition Centre in the New Kuchingoro IDP Camp;Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;;;;
61178;Yes;No;China (People's Republic of);Nigeria;Africa;2015;Chinese Government donates 12 ambulances for Ebola response activities;Completion;Development;Grant;Yes;ODA-like;120;HEALTH;Unspecified Chinese Government Institution;Government Agency;;;;
73398;Yes;No;China (People's Republic of);Nigeria;Africa;2015;Chinese Government provides grant worth 10.000.000 naira for provision of medical equipment and materials to China-Nigeria Friendship Hospital (Linked to Project ID#30629);Implementation;Development;Grant;Yes;ODA-like;120;HEALTH;Unspecified Chinese Government Institution;Government Agency;10000000;NGN;49685.78104;50537.22143
52761;Yes;No;China (People's Republic of);North Macedonia;Europe;2015;Chinese Government donates rescue equipment worth EUR 230.000 (Linked to Project ID#67270);Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;230000;EUR;250787.7244;255085.3482
66864;Yes;No;China (People's Republic of);North Macedonia;Europe;2015;China provides scholarship to 10 Macedonian students to study at various universities;Completion;Development;Scholarships/training in the donor country;Yes;ODA-like;110;EDUCATION;Unspecified Chinese Government Institution;Government Agency;;;;
67270;Yes;No;China (People's Republic of);North Macedonia;Europe;2015;Sinohydro dispatches technicians and provides equipment to support disaster relief efforts (Linked to Project ID#52761);Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;SinoHydro ;State-owned Company;;;;
85154;Yes;No;China (People's Republic of);North Macedonia;Europe;2015;Chinese Government commits grant funding — via ETCA — for Confucius Institute Building Construction Project (Linked to Project ID#42914);Pipeline: Commitment;Representational;Grant;Yes;OOF-like;110;EDUCATION;China Ministry of Commerce;Government Agency;;;;
35127;Yes;No;China (People's Republic of);Pakistan;Asia;2015;China Development Bank, China Construction Bank, and ICBC provide $621 million USD syndicated loan for the 2 X 330 MW Engro Thar Block II Coal Power Project (Linked to #54316, #54315) (CPEC, IPP);Completion;Mixed;Loan;Yes;OOF-like;230;ENERGY;China Construction Bank Corporation (CCB)|China Development Bank (CDB)|Industrial and Commercial Bank of China (ICBC);State-owned Commercial Bank|State-owned Policy Bank|State-owned Commercial Bank;621000000;USD;610537523.7;621000000
37280;Yes;No;China (People's Republic of);Pakistan;Asia;2015;China Eximbank provides $1.23 billion preferential buyer's credit for Lahore Orange Line Metro Train Project (Linked to Project ID#53820, #57673, and #54420);Completion;Mixed;Export Buyer's Credit;Yes;OOF-like;210;TRANSPORT AND STORAGE;Export-Import Bank of China;State-owned Policy Bank;1235480000;USD;1214664895;1235480000
39014;Yes;No;China (People's Republic of);Pakistan;Asia;2015;China Eximbank and ICBC provide $1.416 billion USD syndicated loan for the 870 MW Suki Kinari Hydropower Project (Linked to #54309 and #54319) (CPEC, IPP);Implementation;Mixed;Loan;Yes;OOF-like;230;ENERGY;Export-Import Bank of China|Industrial and Commercial Bank of China (ICBC);State-owned Policy Bank|State-owned Commercial Bank;1416200000;USD;1392340163;1416200000
52537;Yes;No;China (People's Republic of);Pakistan;Asia;2015;Chinese Government provides RMB 87 million grant for Pak-China Technical and Vocational Institute Construction Project;Implementation;Development;Grant;Yes;ODA-like;110;EDUCATION;China Ministry of Commerce;Government Agency;87000000;CNY;13608490.22;13841692.12
52649;Yes;No;China (People's Republic of);Pakistan;Asia;2015;Chinese Government provides $10 million grant to support Internal Displaced Person Rehabilitation Program (Linked to Project ID#72697);Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;China Ministry of Commerce;Government Agency;10000000;USD;9831522.121;10000000
52659;Yes;No;China (People's Republic of);Pakistan;Asia;2015;Syndicate of Chinese banks provides $1.44 billion USD of debt financing for the Sahiwal 2x660 MW Coal-Fired Power Plant Project (Linked to Project #54134) (CPEC, IPP);Completion;Mixed;Export Buyer's Credit;No;OOF-like;230;ENERGY;Agricultural Bank of China|Bank of China (BOC)|China Construction Bank Corporation (CCB)|Industrial and Commercial Bank of China (ICBC);State-owned Commercial Bank|State-owned Commercial Bank|State-owned Commercial Bank|State-owned Commercial Bank;1440000000;USD;1415739185;1440000000
52660;Yes;No;China (People's Republic of);Pakistan;Asia;2015;ICBC provides $100 million loan for Sachal 49.5MW Wind Power Project (Linked to Project ID#72072);Completion;Development;Loan;No;OOF-like;230;ENERGY;Industrial and Commercial Bank of China (ICBC);State-owned Commercial Bank;100000000;USD;98315221.21;100000000
52904;Yes;No;China (People's Republic of);Pakistan;Asia;2015;China Eximbank provide $1.6 billion loan for Port Qasim 2x660 MW Coal-Fired Power Project [CPEC, IPP];Completion;Mixed;Loan;Yes;OOF-like;230;ENERGY;Export-Import Bank of China;State-owned Policy Bank;1598380000;USD;1571450833;1598380000
53645;Yes;No;China (People's Republic of);Pakistan;Asia;2015;ICBC provides $78.8 million loan for Hydro China Dawood 49.5MW Wind Farm Project;Completion;Mixed;Loan;No;OOF-like;230;ENERGY;Industrial and Commercial Bank of China (ICBC);State-owned Commercial Bank;78820000;USD;77492057.36;78820000
53656;Yes;No;China (People's Republic of);Pakistan;Asia;2015;CDB provides $252 million loan for 99 MW Jhimpir Wind Project (CPEC, IPP);Completion;Mixed;Loan;No;OOF-like;230;ENERGY;China Development Bank (CDB);State-owned Policy Bank;252000000;USD;247754357.5;252000000
53785;Yes;No;China (People's Republic of);Pakistan;Asia;2015;Chinese Government provides $399.000 grant for China-Pakistan Faqeer Primary School Construction Project in Gwadar;Completion;Development;Grant;Yes;ODA-like;110;EDUCATION;Unspecified Chinese Government Institution;Government Agency;399000;USD;392277.7326;399000
53820;Yes;No;China (People's Republic of);Pakistan;Asia;2015;China Eximbank provides $203.25 million buyer's credit loan for the Lahore Orange Line Metro Train Project (Linked to Project ID #37280, #57673, and #54420);Completion;Mixed;Export Buyer's Credit;Yes;OOF-like;210;TRANSPORT AND STORAGE;Export-Import Bank of China;State-owned Policy Bank;203250000;USD;199825687.1;203250000
53901;Yes;No;China (People's Republic of);Pakistan;Asia;2015;Chinese Government provides RMB 15 million grant for drug control equipment;Implementation;Development;Grant;Yes;ODA-like;150;GOVERNMENT AND CIVIL SOCIETY;Unspecified Chinese Government Institution;Government Agency;15000000;CNY;2346291.418;2386498.641
53904;Yes;No;China (People's Republic of);Pakistan;Asia;2015;Chinese Government provides RMB 50 million grant for polio eradication equipment;Implementation;Development;Grant;Yes;ODA-like;120;HEALTH;China Ministry of Commerce;Government Agency;50000000;CNY;7820971.392;7954995.468
53911;Yes;No;China (People's Republic of);Pakistan;Asia;2015;Chinese Government provides RMB 95 million grant for provision of police pick-ups, ambulances for hospitals and office equipment;Completion;Development;Grant;Yes;ODA-like;150;GOVERNMENT AND CIVIL SOCIETY;China Ministry of Commerce;Government Agency;95000000;CNY;14859845.65;15114491.39
53985;Yes;No;China (People's Republic of);Pakistan;Asia;2015;China Eximbank and CDB provide a RMB 400 million syndicated loan for the 100 MW Solar PV Power Plant at the Quaid-e-Azam Solar Park (Linked to Project #50939 and #54287) (CPEC, IPP);Completion;Mixed;Loan;Yes;OOF-like;230;ENERGY;China Development Bank (CDB)|Export-Import Bank of China;State-owned Policy Bank|State-owned Policy Bank;400000000;CNY;62567771.14;63639963.75
53988;Yes;No;China (People's Republic of);Pakistan;Asia;2015;China Exim Bank loans $40.81 million USD to 100 MW Crest Energy Pakistan Limited Solar Power Plant at Quaid-e Azam Solar Park (Linked to Project #50939, #54283 and #54284) (CPEC, IPP);Completion;Mixed;Loan;No;OOF-like;230;ENERGY;Export-Import Bank of China;State-owned Policy Bank;40810000;USD;40122441.78;40810000
53989;Yes;No;China (People's Republic of);Pakistan;Asia;2015;China Eximbank provides $49 million loan for 100 MW Solar PV Power Plant located at Quaid-e-Azam Solar Park (Linked to Project #50939, #54285 and #54286) (CPEC, IPP);Completion;Mixed;Loan;No;OOF-like;230;ENERGY;Export-Import Bank of China;State-owned Policy Bank;49060000;USD;48233447.53;49060000
54283;Yes;No;China (People's Republic of);Pakistan;Asia;2015;China Exim Bank loans RMB 100 million to 100 MW Crest Energy Pakistan Limited Solar Power Plant at Quaid-e Azam Solar Park (Linked to Project #50939, #53988 and #54284) (CPEC, IPP);Completion;Mixed;Loan;Yes;OOF-like;230;ENERGY;Export-Import Bank of China;State-owned Policy Bank;100000000;CNY;15641942.78;15909990.94
54284;Yes;No;China (People's Republic of);Pakistan;Asia;2015;China Bohai loans 56.1 Million USD to 100 MW Crest Energy Pakistan Limited Solar Power Plant at Quaid-e Azam Solar Park (Linked to Project #53988, #54283 and #50939) (CPEC, IPP);Completion;Commercial;Loan;No;OOF-like;230;ENERGY;China Bohai Bank;State-owned Commercial Bank;56190000;USD;55243322.8;56190000
54285;Yes;No;China (People's Republic of);Pakistan;Asia;2015;China Eximbank provides RMB 100 million loan for 100 MW Solar PV Power Plant located at Quaid-e-Azam Solar Park (Linked to Project #50939, #53989 and #54286) (CPEC, IPP);Completion;Mixed;Loan;Yes;OOF-like;230;ENERGY;Export-Import Bank of China;State-owned Policy Bank;100000000;CNY;15641942.78;15909990.94
54286;Yes;No;China (People's Republic of);Pakistan;Asia;2015;Bank of Jiangsu provides $64.440 million loan to Best Green Energy Pakistan Limited 100 MW solar power project (Linked to Project #50939, #54285 and #53989) (CPEC, IPP);Completion;Development;Loan;No;OOF-like;230;ENERGY;Bank of Jiangsu;State-owned Bank;64440000;USD;63354328.55;64440000
54287;Yes;No;China (People's Republic of);Pakistan;Asia;2015;China Eximbank and CDB provide a $62.6 million USD syndicated loan to the 100 MW Solar PV Power Plant at the Quaid-e-Azam Solar Park (Linked to Project ID#50939 and #53985) (CPEC, IPP);Completion;Mixed;Loan;No;OOF-like;230;ENERGY;China Development Bank (CDB)|Export-Import Bank of China;State-owned Policy Bank|State-owned Policy Bank;62600000;USD;61545328.48;62600000
54315;Yes;No;China (People's Republic of);Pakistan;Asia;2015;Chinese bank syndicate provides a $200 million USD loan for a coal mine to support a coal-fired power plant at Thar Block II (Linked to Project ID#53968, #35127, #85178, and #85179);Completion;Mixed;Loan;Yes;OOF-like;320;INDUSTRY, MINING, CONSTRUCTION;China Construction Bank Corporation (CCB)|China Development Bank (CDB)|Industrial and Commercial Bank of China (ICBC);State-owned Commercial Bank|State-owned Policy Bank|State-owned Commercial Bank;200000000;USD;196630442.4;200000000
54420;Yes;No;China (People's Republic of);Pakistan;Asia;2015;China Eximbank provides $1.2 billion government concessional loan for Lahore Orange Line Metro Train Project (Linked to Project ID#53820, #57673, and #37280);Completion;Development;Loan;Yes;ODA-like;210;TRANSPORT AND STORAGE;Export-Import Bank of China;State-owned Policy Bank;1200000000;CNY;187703313.4;190919891.2
54530;Yes;No;China (People's Republic of);Pakistan;Asia;2015;Confucius Institute opens at Agriculture University, Faisalabad, Pakistan;Completion;Representational;Grant;Yes;OOF-like;110;EDUCATION;Unspecified Chinese Government Institution;Government Agency;;;;
72072;Yes;No;China (People's Republic of);Pakistan;Asia;2015;ICBC provides loan worth 727.352.000 Pakistani rupees for Sachal 49.5MW Wind Power Project (Linked to Project ID#52660);Completion;Development;Loan;Yes;ODA-like;230;ENERGY;Industrial and Commercial Bank of China (ICBC);State-owned Commercial Bank;727352000;PKR;6958553.491;7077798.743
72695;Yes;No;China (People's Republic of);Pakistan;Asia;2015;China government grants RMB 900.000 for the feasibility study of Hospital of Gwadar Construction Project (Linked to project ID#52542);Completion;Development;Grant;Yes;ODA-like;120;HEALTH;Unspecified Chinese Government Institution;Government Agency;900000;CNY;140777.4851;143189.9184
72696;Yes;No;China (People's Republic of);Pakistan;Asia;2015;China government grants RMB 700.000 for the feasibility study of Digital Terrestrial Multimedia Broadcasting (Linked to project #53726);Completion;Development;Grant;Yes;ODA-like;220;COMMUNICATIONS;Unspecified Chinese Government Institution;Government Agency;700000;CNY;109493.5995;111369.9366
72697;Yes;No;China (People's Republic of);Pakistan;Asia;2015;Chinese Government provides RMB 800 million grant for IDPs/TDPs and Social Sector Projects of FATA (Linked to Project ID#52649);Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;China Ministry of Commerce;Government Agency;800000000;CNY;125135542.3;127279927.5
85357;Yes;No;China (People's Republic of);Panama;America;2015;[China Co-Financing Fund] IDB administers 50 million USD loan from CHC to Government of Panama for Panama City and Bay Sanitation Program II;Implementation;Development;Loan;Vague;Vague (Official Finance);140;WATER SUPPLY AND SANITATION;People's Bank of China (PBC);Government Agency;50000000;USD;49157610.61;50000000
63850;Yes;No;China (People's Republic of);Papua New Guinea;Oceania;2015;Chinese Government dispatches 8th medical team to Port Moresby Hospital;Completion;Development;Free-standing technical assistance;Yes;ODA-like;120;HEALTH;Unspecified Chinese Government Institution;Government Agency;;;;
63990;Yes;No;China (People's Republic of);Papua New Guinea;Oceania;2015;Chinese Government grants K4 million for the Fourth Phase of the Mt. Hagen Agriculture Technical Cooperation Project in PNG (linked to #39344, #39378, #39383, and #69380);Completion;Development;Grant;Yes;ODA-like;310;AGRICULTURE, FORESTRY, FISHING;China Ministry of Commerce;Government Agency;4000000;PGK;1425809.914;1450243.305
85363;Yes;No;China (People's Republic of);Paraguay;America;2015;[China Co-Financing Fund] IDB administers 50 million USD loan from CHC to Government of Paraguay for Rural Roads Improvements Program;Implementation;Development;Loan;Vague;Vague (Official Finance);210;TRANSPORT AND STORAGE;People's Bank of China (PBC);Government Agency;50000000;USD;49157610.61;50000000
85367;Yes;No;China (People's Republic of);Paraguay;America;2015;[China Co-Financing Fund] IDB administers 5 million USD loan from CHC for Sudameris Bank SME Financing Partnership;Completion;Development;Loan;Vague;Vague (Official Finance);240;BANKING AND FINANCIAL SERVICES;People's Bank of China (PBC);Government Agency;5000000;USD;4915761.061;5000000
